url,title
https://underlap.org/developers-block/,Developer's block
https://github.com/3b1b/manim,Manim: Animation engine for explanatory math videos
https://wwlln.net/,World Wide Lightning Location Network
https://www.openmymind.net/Im-Too-Dumb-For-Zigs-New-IO-Interface/,I'm too dumb for Zig's new IO interface
https://github.com/RijinRaju/octanedb,"Show HN: OctaneDB – Fast, Open-Source Vector Database for Python"
https://dfarq.homeip.net/building-a-computer-in-the-90s/,Building a computer in the 90s (2019)
https://shaderacademy.com/,Shader Academy: Learn computer graphics by solving challenges
https://github.com/Evidlo/xsl-website,Show HN: JavaScript-free (X)HTML Includes
https://www.howtogeek.com/i-run-a-full-linux-desktop-in-docker-just-because-i-can/,I run a full Linux desktop in Docker just because I can
https://comeadwithus.wordpress.com/wp-content/uploads/2012/08/the-theory-and-practice-of-selling-the-aga-cooker.pdf,The theory and practice of selling the Aga cooker (1935) [pdf]
https://moq.dev/blog/first-cdn/,The first Media over QUIC CDN: Cloudflare
https://git.vuxu.org/nitro/about/,Nitro: A tiny but flexible init system and process supervisor
https://theconversation.com/the-world-regulated-sulfur-in-ship-fuels-and-the-lightning-stopped-249445,Lightning declines over shipping lanes following regulation of sulfur emissions
https://efitz-thoughts.blogspot.com/2025/08/my-experience-creating-software-with_22.html,My tips for using LLM agents to create software
https://thoughtbot.com/blog/top-secret,Top Secret: Automatically filter sensitive information
https://arstechnica.com/ai/2025/08/google-says-it-dropped-the-energy-cost-of-ai-queries-by-33x-in-one-year/,Measuring the environmental impact of AI inference
https://ffmpeg.org/index.html#pr8.0,FFmpeg 8.0
https://github.com/mbuhot/glyn,Glyn: Type-safe PubSub and Registry for Gleam actors with distributed clustering
https://www.ssp.sh/blog/macbook-to-arch-linux-omarchy/,From M1 MacBook to Arch Linux: A month-long experiment that became permanenent
https://lwn.net/Articles/1032612/,The use of LLM assistants for kernel development
